"filename", "language", "MS SQL", "Markdown", "Python", "JSON", "C#", "PowerShell", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\HouseAdDtoMapper.cs", "C#", 0, 0, 0, 0, 150, 0, 0, 0, 0, 10, 160
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\RealEstateAdDtoMapper.cs", "C#", 0, 0, 0, 0, 120, 0, 0, 0, 0, 10, 130
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\BoatAdDtoMapper.cs", "C#", 0, 0, 0, 0, 104, 0, 0, 0, 0, 8, 112
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\CarAdDtoMapper.cs", "C#", 0, 0, 0, 0, 203, 0, 0, 0, 3, 13, 219
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\BulldozerAdDtoMapper.cs", "C#", 0, 0, 0, 0, 115, 0, 0, 0, 0, 9, 124
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\BusAdDtoMapper.cs", "C#", 0, 0, 0, 0, 98, 0, 0, 0, 0, 9, 107
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\CraneAdDtoMapper.cs", "C#", 0, 0, 0, 0, 111, 0, 0, 0, 0, 9, 120
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\ExcavatorAdDtoMapper.cs", "C#", 0, 0, 0, 0, 103, 0, 0, 0, 0, 9, 112
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\HeavyEquipmentAdDtoMapper.cs", "C#", 0, 0, 0, 0, 145, 0, 0, 0, 0, 10, 155
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\MotorcycleAdDtoMapper.cs", "C#", 0, 0, 0, 0, 139, 0, 0, 0, 3, 11, 153
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\TransportAdDtoMapper.cs", "C#", 0, 0, 0, 0, 132, 0, 0, 0, 0, 9, 141
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\TruckAdDtoMapper.cs", "C#", 0, 0, 0, 0, 148, 0, 0, 0, 3, 12, 163
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Services\AdService.cs", "C#", 0, 0, 0, 0, 825, 0, 0, 0, 107, 94, 1026
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Services\CategoryDtoMapper.cs", "C#", 0, 0, 0, 0, 317, 0, 0, 0, 16, 27, 360
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\AdDtoValidator.cs", "C#", 0, 0, 0, 0, 112, 0, 0, 0, 5, 19, 136
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\ComputerAdDtoValidator.cs", "C#", 0, 0, 0, 0, 77, 0, 0, 0, 1, 15, 93
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\ConsoleAdDtoValidator.cs", "C#", 0, 0, 0, 0, 68, 0, 0, 0, 3, 13, 84
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\ElectronicAdDtoValidator.cs", "C#", 0, 0, 0, 0, 38, 0, 0, 0, 1, 8, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\HandheldDeviceAdDtoValidator.cs", "C#", 0, 0, 0, 0, 159, 0, 0, 0, 3, 30, 192
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\LaptopAdDtoValidator.cs", "C#", 0, 0, 0, 0, 158, 0, 0, 0, 1, 30, 189
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\TvMonitorAdDtoValidator.cs", "C#", 0, 0, 0, 0, 77, 0, 0, 0, 1, 15, 93
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Cv\CvAdDtoValidator.cs", "C#", 0, 0, 0, 0, 119, 0, 0, 0, 8, 22, 149
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Cv\EducationDtoValidator.cs", "C#", 0, 0, 0, 0, 61, 0, 0, 0, 4, 10, 75
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Cv\ExperienceDtoValidator.cs", "C#", 0, 0, 0, 0, 49, 0, 0, 0, 3, 8, 60
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Cv\LanguageDtoValidator.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 1, 5, 37
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Service\DailyAvailabilityDtoValidator.cs", "C#", 0, 0, 0, 0, 80, 0, 0, 0, 7, 14, 101
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Service\ServiceAdDtoValidator.cs", "C#", 0, 0, 0, 0, 40, 0, 0, 0, 6, 10, 56
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\Service\TimeSlotDtoValidator.cs", "C#", 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\VacancyAdDtoValidator.cs", "C#", 0, 0, 0, 0, 78, 0, 0, 0, 6, 17, 101
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\BookAdDtoValidator.cs", "C#", 0, 0, 0, 0, 40, 0, 0, 0, 6, 9, 55
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\ClothAdDtoValidator.cs", "C#", 0, 0, 0, 0, 55, 0, 0, 0, 0, 11, 66
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\EngineOilAdDtoValidator.cs", "C#", 0, 0, 0, 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\FurnitureAdDtoValidator.cs", "C#", 0, 0, 0, 0, 51, 0, 0, 0, 0, 10, 61
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\PlantAdDtoValidator.cs", "C#", 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\ShoeAdDtoValidator.cs", "C#", 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\TireWheelAdDtoValidator.cs", "C#", 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\VideoGameAdDtoValidator.cs", "C#", 0, 0, 0, 0, 55, 0, 0, 0, 3, 11, 69
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\ApartmentAdDtoValidator.cs", "C#", 0, 0, 0, 0, 61, 0, 0, 0, 1, 12, 74
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\ConstructionProjectAdDtoValidator.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 0, 1, 7, 43
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\HouseAdDtoValidator.cs", "C#", 0, 0, 0, 0, 61, 0, 0, 0, 1, 12, 74
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\RealEstate\RealEstateAdDtoValidator.cs", "C#", 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\BoatAdDtoValidator.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\CarAdDtoValidator.cs", "C#", 0, 0, 0, 0, 99, 0, 0, 0, 7, 19, 125
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\BulldozerAdDtoValidator.cs", "C#", 0, 0, 0, 0, 42, 0, 0, 0, 0, 8, 50
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\BusAdDtoValidator.cs", "C#", 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\CraneAdDtoValidator.cs", "C#", 0, 0, 0, 0, 47, 0, 0, 0, 0, 9, 56
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\ExcavatorAdDtoValidator.cs", "C#", 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
