"filename", "language", "Markdown", "MS SQL", "C#", "JSON", "Python", "PowerShell", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\boat_example.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 8, 3, 62
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\car_example.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 43, 3, 103
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\general_transport_example.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 5, 6, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\motorcycle_example.json", "JSON", 0, 0, 0, 52, 0, 0, 0, 0, 23, 1, 76
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\Vehicles\truck_example.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 6, 7, 55
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\AdsClassificationAttributes\common-fileds-data-type.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 6, 10, 52
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\README.md", "Markdown", 58, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\conversation.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 17, 10, 64
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\indexes.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 3, 2, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\ChatSystem\message.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 3, 1, 12
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\Sort&Exchange\exchange_rates.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\MongoDB Documents\Sort&Exchange\price_sorting_queries.json", "JSON", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 117
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\MongoDB-Inheritance-Pattern-Summary.md", "Markdown", 487, 0, 0, 0, 0, 0, 0, 0, 0, 126, 613
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\Vacancy & CV Posting Workflow.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\baseUrl.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\endpoints_only.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 22, 79
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\enumSystem\DOCUMENTATION.md", "Markdown", 334, 0, 0, 0, 0, 0, 0, 0, 0, 88, 422
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\enumSystem\MultilingualEnumHandler.cs", "C#", 0, 0, 297, 0, 0, 0, 0, 0, 46, 55, 398
